Feature_Index,Feature,RF_Mean_Importance,RF_Std_Importance,RF_CI_Lower,RF_CI_Upper,RF_CV_Robustness,RF_Ranking_Stability,RF_Consistency_Index,Perm_Mean_Importance,Perm_Std_Importance,Perm_CI_Lower,Perm_CI_Upper,Perm_Ranking_Stability,Perm_Consistency_Index,Mutual_Information
42,eeg_2_skewness,0.007052192089886711,0.002503260454461933,0.006340773340241817,0.007763610839531604,2.8172025789790602,0.02,0.02910906931139269,0.0011948051948051893,0.020866260705177157,-0.004735320483560271,0.00712493087317065,0.06,0.021571679510365236,0.00794749090377933
43,eeg_2_kurtosis,0.006959140774286614,0.003172009854260177,0.006057665548104403,0.007860616000468825,2.193921480271561,0.0,0.02372145900869996,0.0006233766233766225,0.019070265954389487,-0.004796332994328145,0.00604308624108139,0.04,0.022566155448158647,0.07909858823412219
70,eeg_2_beta_power,0.006879428908146826,0.003997702992467734,0.005743294288481626,0.008015563527812027,1.7208453827170636,0.06,0.022926348888503756,0.000805194805194799,0.016901313315368777,-0.003998105292781117,0.005608494903170716,0.06,0.024262690642402256,0.03205157232611833
88,eeg_3_mean_abs,0.00683106864873654,0.004045893524007115,0.0056812384315431804,0.007980898865929899,1.688395514949537,0.08,0.021906261273059224,0.0011515151515151493,0.011971433925153709,-0.0022507287257884385,0.0045537590288187366,0.0,0.027995611010810717,0.018224268633387997
35,eeg_1_sample_entropy,0.006830173648232494,0.003462891641021317,0.005846030732931788,0.007814316563533201,1.9723901753330755,0.06,0.023168297717205074,-0.0026320346320346326,0.012868970029120031,-0.006289355447779338,0.0010252861837100721,0.04,0.024634449355259595,0.0
171,corr_eeg_3_eeg_4,0.0066752377933870025,0.0032660909257959635,0.0057470250225126526,0.007603450564261352,2.0438002923571954,0.04,0.022987968590470496,0.002259740259740257,0.01559554436703385,-0.002172464409114907,0.006691944928595421,0.36,0.020308902448915443,0.03286727761601904
139,eeg_4_freq_std,0.006644059651955119,0.0032732711903919244,0.00571380627246097,0.007574313031449269,2.029791930616174,0.02,0.022951431735498233,-0.0014805194805194842,0.012032791288419466,-0.004900200927524709,0.0019391619664857406,0.02,0.02166076085473794,0.07414518210147114
152,eeg_4_sample_entropy,0.006636329600678542,0.0026760378961735026,0.005875808045398624,0.007396851155958461,2.4799085850678897,0.0,0.02611794015663576,0.0003982683982683947,0.01625213160290907,-0.00422053629838114,0.00501707309491793,0.12,0.02080995215536193,0.009504607791085196
22,eeg_1_freq_std,0.006628664092425434,0.0032987951749251982,0.005691156876787206,0.007566171308063661,2.0094196638425044,0.04,0.024313392787945726,0.00017316017316016947,0.010613390876191219,-0.002843132140000445,0.0031894524863207837,0.06,0.018561810804360843,0.04013696947921819
117,eeg_4_mean,0.006627998246325383,0.0035222321529926556,0.005626990944118916,0.0076290055485318505,1.8817607046480032,0.06,0.022588432317254246,-0.0007359307359307376,0.009060865631681646,-0.0033110002565239914,0.0018391387846625165,0.02,0.024845215106217393,0.03350576386771298
86,eeg_3_rms,0.006602981872821233,0.0024776917884146363,0.005898829657666202,0.007307134087976263,2.664972954747083,0.02,0.02790057021110407,-0.001341991341991344,0.014375488613902471,-0.005427460002277095,0.0027434773182944067,0.02,0.02918366164408083,0.028167129755493958
90,eeg_3_energy,0.006558879197099096,0.003467097295685869,0.005573541047967423,0.007544217346230769,1.8917493362777607,0.06,0.021967931955498586,2.597402597402293e-05,0.014726865525468872,-0.0041593548476727,0.004211302899620746,0.06,0.025165109540352976,0.03162624925234936
74,eeg_2_sample_entropy,0.0063635587661632085,0.003478707373848484,0.005374921069325661,0.007352196463000756,1.8292882669790058,0.04,0.022625515071117992,-0.0026666666666666683,0.013202075010410258,-0.00641865487064402,0.0010853215373106831,0.02,0.029433698870942163,0.0
77,eeg_2_hurst_exp,0.00633378791053053,0.0027926286575172187,0.005540131627496874,0.007127444193564186,2.2680379171349547,0.04,0.0271291257171626,-0.0024155844155844186,0.014595381741975753,-0.006563546011413716,0.0017323771802448791,0.0,0.027072312488049168,0.0
162,corr_eeg_1_eeg_4,0.0063092701443603575,0.0036532756818568398,0.005271020683317625,0.00734751960540309,1.7270172089645976,0.04,0.02238282610718169,-0.0018528138528138562,0.015098494739314756,-0.00614375858044593,0.002438130874818218,0.16,0.020551095346847292,0.007028022531480715
120,eeg_4_skewness,0.006278254344547197,0.0030972620662927143,0.005398022204660601,0.007158486484433793,2.02703355656263,0.08,0.023351697977805064,-0.00017316017316017376,0.009754390903659165,-0.0029453273952562598,0.0025990070489359126,0.04,0.022579683195922573,0.04281911822823736
34,eeg_1_gamma_relative_power,0.006249790430350932,0.0037183696907093673,0.0051930414566807,0.007306539404021164,1.6807877597237675,0.04,0.022891248477085912,-0.0009264069264069236,0.013705660521793056,-0.004821512549192475,0.002968698696378628,0.02,0.02371196231830359,0.007309475878972238
110,eeg_3_beta_relative_power,0.006237296481989042,0.003330370881358341,0.005290815549872459,0.007183777414105625,1.8728533598515409,0.02,0.021645693341365603,-0.0062943722943723,0.021864036538945728,-0.012508062727184419,-8.068186156018169e-05,0.04,0.020931244493114155,0.0038842847179321183
130,eeg_4_iqr,0.00623448122349825,0.004052949067713459,0.005082645842969735,0.007386316604026766,1.538257936507884,0.02,0.023300702397165418,-0.004329004329004328,0.02141873052268914,-0.010416140192262993,0.0017581315342543365,0.02,0.02107142244284904,0.009764685763427039
112,eeg_3_gamma_relative_power,0.006196778595485749,0.0030148254279349232,0.0053399746889980755,0.007053582501973423,2.0554352276996872,0.04,0.022908917401899834,-0.0020779220779220792,0.024178642130113226,-0.008949416141456836,0.0047935719856126765,0.06,0.019888455148024824,0.06165617739548468
149,eeg_4_beta_relative_power,0.006173341029318125,0.0031930922670105233,0.005265874247726002,0.0070808078109102475,1.93334245294564,0.04,0.02256560995731453,-0.0018874458874458889,0.01825398171437202,-0.00707517009094697,0.003300278316055192,0.04,0.0203374123216934,0.0
52,eeg_2_iqr,0.006138858907956945,0.0034054990852015092,0.005171026776549091,0.0071066910393648,1.8026311486530862,0.06,0.022995263235045228,-0.0005714285714285755,0.012536916121981148,-0.004134380710909338,0.002991523568052187,0.0,0.026627589801497657,0.0026197473684890227
124,eeg_4_range,0.006059155110210027,0.002584750705527329,0.005324577087458791,0.006793733132961263,2.344193141270292,0.02,0.0250927455053398,0.00032900432900432236,0.014651888474617911,-0.003835016302556214,0.0044930249605648585,0.06,0.02353006281124521,0.10023401824309919
27,eeg_1_theta_power,0.006037917557779442,0.0026542846836941007,0.0052835781970831,0.006792256918475783,2.274781362901147,0.0,0.026789592569578923,0.0007619047619047614,0.013947608560673001,-0.0032019617327238292,0.004725771256533352,0.04,0.02051913332076904,0.0773135546094661
