filename,direction,eeg_1_mean,eeg_1_std_dev,eeg_1_variance,eeg_1_skewness,eeg_1_kurtosis,eeg_1_dominant_freq,eeg_1_mean_freq,eeg_1_median_freq,eeg_1_freq_std,eeg_2_mean,eeg_2_std_dev,eeg_2_variance,eeg_2_skewness,eeg_2_kurtosis,eeg_2_dominant_freq,eeg_2_mean_freq,eeg_2_median_freq,eeg_2_freq_std,eeg_3_mean,eeg_3_std_dev,eeg_3_variance,eeg_3_skewness,eeg_3_kurtosis,eeg_3_dominant_freq,eeg_3_mean_freq,eeg_3_median_freq,eeg_3_freq_std,eeg_4_mean,eeg_4_std_dev,eeg_4_variance,eeg_4_skewness,eeg_4_kurtosis,eeg_4_dominant_freq,eeg_4_mean_freq,eeg_4_median_freq,eeg_4_freq_std
scrolling_down_20_3_friend_cleaned.csv,1,810.0557298873,32.423126497,1051.259131841,0.22633849920000002,6.2661799761,0,1743.2650240208,12.4522406058,72490.6361748731,807.3582752656,6.6359413322,44.0357173645,0.0451305308,0.5566360675,0,1065.6613913484,4.8229772939,72206.8949936307,805.3797656251,6.5625957221,43.0676626114,0.1491889147,0.17605319560000002,0,1066.992940041,3.785601577,72029.8449208755,804.9395917555,44.2874630808,1961.3793861361,0.401166075,2.7447352463,0,2026.1916124234,14.9615406933,72076.3872031868
scrolling_down_20_7_brian_cleaned.csv,1,810.7614286493,71.9583360701,5178.0021299846,-0.25394431700000003,3.3499828363,0,2529.437455108,47.872417775,72757.7730464741,801.2483731559,6.8773517104,47.2979665484,-0.1999734713,1.0507862386,0,1056.6643071254,6.2229863572,71660.682670876,798.9613437679,13.8730613232,192.461830478,-0.2396915409,14.5679560091,0,1190.4017531642,3.1183011216,71462.1317659286,806.7823365991,62.8903254417,3955.1930341578,-0.7348392217,10.0175149185,0,2181.4543358248,20.0575322949,72346.808880884
scrolling_up_20_10_friend_cleaned.csv,0,803.6873059299,27.8404389292,775.0900397682,2.3433678333,24.26601509,0,1540.3976962421,19.4854764895,71910.5931408502,804.9279434637,6.4638457295,41.7813016143,1.4081951449,11.9960153667,0,1058.2768619255,5.6887409273,71989.4868162321,803.9857123522,5.6732804518,32.1861110843,-0.888244989,7.1569508065,0,1029.007283043,4.9608575969,71905.0958280828,809.0614250712,22.926435476,525.6214436362,1.3032334604,12.221655787,0,1474.9447239338,10.6161748558,72378.6715842081
scrolling_down_20_5_brian_cleaned.csv,1,811.240019751,48.1791486693,2321.2303665012,0.20485766730000002,-0.1150682157,0,2143.609817268,54.9412760794,72655.7321607722,803.9256342903,5.9260120578,35.1176189092,-0.0771045902,0.4342599311,0,1017.5083051316,1.51096113,71900.0485843731,805.4028197626,8.3301376341,69.3911930032,-0.1471294639,1.4101342023,0,1110.8598698597,0.6735323149,72032.7055382078,802.2172527902,39.0362974177,1523.8325160797,0.3207804242,2.3530397422,0,1922.6880563861,22.5519332247,71811.6464950346
scrolling_up_20_2_sophia_cleaned.csv,0,809.5386203139,62.9724664845,3965.5315351403,-0.0583248517,1.5426846934,0,2731.4109990201,31.6209706267,72574.6643322705,744.7138227322,96.5922223647,9330.0574213476,-1.1521086843,16.8077639604,0,2945.7413374221,8.6587771389,67102.4825131957,725.8752814648,189.2367646711,35810.5531031928,-0.3094232309,0.7408417603,0,6032.9870001644,73.6385052695,66822.2348927429,805.1211547763,57.9353570763,3356.5055995573,0.18220841640000002,0.7155834947,0,2664.0377720496,10.4409936367,72149.2354913504
scrolling_down_20_2_mom_cleaned.csv,1,837.0750480486,61.1173450733,3735.3298688106,-3.8184295409,47.5698241651,0,2878.5701502383,135.692069192,75014.3308044189,807.9470237562,44.7121854382,1999.1795266555,0.2873048407,7.1652714431,0,1992.6776823506,47.022911764,72348.1016907869,731.6284914912,234.970179402,55210.9852082299,2.5872856563,16.8129388983,0,5692.802365335,328.6562829246,68494.2820124647,828.9397529818,60.971484302,3717.5218979917,-3.771681276,48.4742939787,0,2760.5489589933,129.5179026149,74291.6195791686
scrolling_up_20_16_brian_cleaned.csv,0,803.786182885,39.5582977124,1564.8589178994,0.2645922026,1.1524646191,0,1970.1141513497,29.4313168213,71952.8580328057,801.5681716146,6.6345104777,44.0167292783,-0.11384235870000001,1.0787553177,0,1058.2259469789,4.8047917569,71689.0822763621,798.2622718712,13.1015618764,171.6509236018,-0.3850739844,7.7168946311,0,1231.1143753117,7.590235013,71397.749479075,802.0574056982,39.7963342508,1583.7482198027,0.0817700672,4.1505155796,0,2017.4963656976,16.4638167141,71798.0972359835
scrolling_down_20_9_friend_cleaned.csv,1,804.4370595192,43.1444261849,1861.4415108206,0.101590094,-0.5822372026,0,1797.1014252992,45.9411451548,72032.0203724371,804.8650403675,4.6881306843,21.9785693129,-0.0386153745,0.0545981409,0,988.6372439437,0.8533066407000001,71983.7500316726,801.0513730419,5.6118404001,31.4927526763,0.1414864553,2.3852286191,0,1021.7378982152,7.2068314182,71642.6854620559,810.9432468431,29.6614997793,879.8045691556,0.1141798364,0.0734758794,0,1631.6790135792,24.9110511258,72563.1227080894
scrolling_down_20_11_friend_cleaned.csv,1,802.381762233,33.7814337491,1141.1852661479,0.2283604467,-0.055417019000000005,0,1662.6339072005,33.3093699624,71811.5306085864,803.0631595851,5.265836148,27.7290303373,-0.3118282241,1.9666698774,0,1011.1540912006,3.2322491392,71822.5791668577,801.4267972596,6.4461477886,41.5528213129,0.6972911099,5.0831528389,0,1047.8219538904,0.590439485,71676.4517892522,806.3674172655,25.4946631334,649.9778482851,0.3964955922,0.7761908811,0,1574.0531653594,16.7320502768,72142.5590235051
scrolling_down_20_14_brian_cleaned.csv,1,803.6118027689,40.7186590139,1658.0091918942,0.1228915046,0.7984040584000001,0,1910.4783212546,25.8050933571,71944.061078768,801.3015046519,7.5198336381,56.5478979452,0.022394593600000002,0.9188791441,0,1109.0641325586,6.7281646266,71665.1596959454,810.3162956469,10.6385964601,113.1797346415,0.0715809265,3.8100510317,0,1235.2854027941,1.1492147998,72472.6112859045,799.8893576569,42.7741836807,1829.6307895535,-0.6870979593000001,11.2994877003,0,1979.2804421915,16.4509459696,71619.1422844437
